Date,Name,Character(s),Species,Expression(s),Medium
12/29/21,Bandit Raccoon,Bandit,Raccoon,Happy,Digital
12/26/21,Raccoons Christmas Stamp,"Art, Rocky","Raccoon, Raccoon",Engaged,Traditional
12/25/21,Christmas 2021,"Roni, Paco, Nemo, Julio, Biro, Art, Rocky","Collie, Panda, Panda, Bear, Fox, Raccoon, Raccoon ","Engaged, Ecstatic, Warm",Traditional
12/21/21,Cozy Evening by the Fireplace,"Kona, Jaycatt Nico","Otter, Cat","Warm, Engaged",Digital
12/19/21,First Meet,"Kazan, Steffen","Wolf, Otter","Shy, Engaged",Traditional
12/17/21,Tostada,Tostada,Bunny,Neutral,Traditional
12/15/21,Magic Kingdom,"Katsu, Timburrs, Flip, Ruka","Fox, Red Panda, Rabbit, Tiger",Engaged,Digital
12/13/21,Tigg's convertible,"DJ Wolf, Tiggs","Wolf, Tiger","Concerned, Happy",Traditional
12/11/21,Love,"Cove, Andy","Otter, Wolf","Warm, Engaged",Digital
12/9/21,Hubcap's Backyard Bargain Bonanza,Hubcap,Hyena,Neutral,Digital
11/30/21,Intergalactic Dream,NaN,Raccoon,Neutral,Traditional
11/8/21,Skater Pandas,"Paco, Steel","Panda, Red Panda","Nervous, Happy",Traditional
11/6/21,Space Travel,"Kai Veloski, Beeps","White Tiger, Fox-Dragon",Ecstatic,Digital
10/9/21,Malaika,Malaika,African Wild Dog,Neutral,Traditional
10/6/21,Lucha Libre,unknown,Foxes,"Engaged, Playful",Digital
10/1/21,Autumn Railway,"Paco, Panda",Pandas,Neutral,Traditional
9/26/21,Music for Balasch,Balasch,Arctic Wolf,Calm,Traditional
9/23/21,Nordic Forest,"Mango, Pico","Dragon, Lizard","Engaged, Calm",Digital
9/22/21,Manzanares,"Salmy, Paco","Cheetah, Panda","Engaged, Calm",Traditional
9/18/21,Diving expedition,"Art, Biro, Blue Otter","Raccoon, Fox, Otter","Engaged, Playful",Traditional
9/17/21,Tlaquepaque,"Roni, Kazan, Paco","Collie, Wolf, Panda",Engaged,Traditional
9/12/21,Pan the Surmelle,Pancake,Surmelle,Neutral,Traditional
9/11/21,House Roof,"Paco, Flurrabell","Panda, Bird","Engaged, Laughing",Traditional
9/10/21,Save the Dragon,"Biro, Art","Raccoon, Fox","Engaged, Playful",Digital
9/8/21,Enjoy the Silence,"Biro, Art","Raccoon, Fox",Calm,Digital
9/4/21,Boltee Christmas,"Boltee, unknown, unknown",German Shepherd,"Engaged, Playful, TO",Digital
9/2/21,Friendly Match,"Fuleco, Zakumi, Zabivaka","Armadillo, Leopard, Wolf","Engaged, Playful",Traditional
